,year,pol,sentences,ocr,loss_hmd_distilbert,loss_bnert-time-st-y,loss_bnert-time-y,loss_bnert-time-y_masked_25,loss_bnert-time-y_masked_75
20,1851,lib,"347girls.eiljws, lucy harriet • • 2,451 harrison, erzabetk sarah *2,951444thcaroline,ormes... *8,142 tremlett, augusta • ..... g,752„, alice 4. 2,24744 marked thas (*) are the successful candidates.alfred lencei saul, sec.81, cheapaide.a commercial traveller of nearly!ringers, yells' experience, and now about leaving' his present%au ~ep (with whom he has been upwards of 11 years), is opennr4""t;..9a-gement with any respectable firm requiring a tranl7thas:',..; aforercommendation from the firm he isbusinessleaving,maydbe rei:torr strict integrity and perseverance inetretc6, . address g. s. c., j. w. masan, esq., 16, redcross-----._tile anaxyridian trowser.14pezio,.""42rr cahan, the scientific trowser-cutter, continues his,;144 iiira,e‘thod by which an elegance of style and",0.5165,41.29652951287828,44.68786235623781,45.39801180785355,42.375640752944456,42.611841211107546
21,1832,lib,"which is not less discreditable to theconstituted, or rather usurped. authorities there,than it is to the common sense of the people of thatunfortunate country. the arguments of the repre-sentatives of the tory party on thin occasion aresuch as they would be sorry to see retorted uponthem upon other occasions. don miguel, says themorning post ,is the choice of the portuguese people.admitting that he is king de facto, we begto ask our contemporary, whether louis-philipm:is not likewise de facto king of the french, andby what sort of reasoning the one sovereign is tobe made light of, and the other to be",0.9409,4.349305777884415,4.045611036789378,4.009029088493043,4.154630694692845,4.212829161435683
22,1862,lib,"having been so engaged, it was strangethat he did not come into court and tell them alittle more of what he knew. he (sir h. cairns)could not account for it, unless, like general wind-ham, he considered ""discretion the better part ofvalour,"" and deemed an appearance in the witness-box a place quite as dangerous as other places whichwere more exposed. the learned counsel then re-ferred to the evidence of mr. atkin, the bootmaker,of the opera colonade, in which he said that whenmr. windham ordered a pair of boots he orderedtwo pairs of trees, and on that account he presumed*at such was",0.9652,6.059559171689853,5.993779202097729,5.909370584808727,5.567774804813393,5.6603295925629675
23,1866,lib,"visitors.the regatta was under the immediate patronage of earlglanville, the lord warden of the cinque port.,and the earl of clanwilliam. the programme consistedof a sailing match between second-class ruggers, not ex-ceeding 34 feet in length, for the borough members'prize,a race between four-oared galleys belonging to the coastguard service ; a race (open to the coast) between four-oared regatta galleys; the deal boatmen's race betweeneight-oared service galleys ; a race by sailing punts be-longing to deal, weimer, and kingdown, not exceedinghi feet in length, to be railed by two persons with a fore-sail and mizen ; the pilots' stakes, an amateur",0.8472,5.356026088031942,5.012294393703701,4.941127509338711,4.864673783012504,4.851748457163188
24,1859,lib,"furtherar by the state of a magnifi-cent enterprise like that all but accomplishedbetween valentia and newfoundland, we are con-strained to accept as most rational the decisionannounced last evening by the chancellor of theexchequer. •supposing any other decision had been arrivedat by ministers, the only .equitable course thenremaining to be pursued would have been theorganisation and establishment, at the nationalexpense, of a grand laboratory for the promotionof experimental resorches, under the auspices ofhe imperial. government. according to these viewswe ought, :two or three centuries back, not somuch to he cue offered £30,000 for the discovery ofperpetual 1 notion, as to have",0.95,9.397159538804315,9.329849727105074,9.295873827205467,8.8100537869997,8.817656604086919
25,1851,lib,"accounts for the year ending the 25th of.march,last, totrgnet our directors in the room of janus andertoc, esq., charles'‘'ho en., james harmer, esq., and taverner john miller, esq,,r00,6° out of office in rotation ; and to elect two auditors, in thewho 't henry arthur hunt, esq., and john henry taylor, esq.,the out of office in pursuance of the direction of the charter.41 „eve-named gentlemen are eligible for re-election to their save-t,v. also to consider the propriety of altering the day fixedu1(118, cod of constitution for the annual general meeting fromof may to the ist of june, and the day of",0.8776,31.871771275561194,27.936760954754845,27.937726764662578,30.215477176138375,30.75287325133205
26,1820,con,"is the whole of theevidence, alid i has c come to the end of it a ith satisfactionto myself, because it was impossible, without goi:ig thiouglithe whole to meal the facts to the recollection ofthe jury. 1 adl therefore, on the conclusion of this longproceeding, make a few mist.' vatious, there are sonic pre-liminary topics a well i a ill now advert to, first, as to theconduct of the plaintilf• iii this ac: ion. iht y iri i, onfintu-utlely,r stiy ttu ljetablestake tit p.m! itiz. it h slit ii as",0.78,18.36048123408615,18.959662027459412,19.281972266104052,18.74624224175331,18.776318941888054
27,1858,lib,"the invest-ment of 1,500,0001. per annum on account ofthe war loans, and the proposed stamp upon bankers'cheques. upon the former point it is urged that thenation has deliberately entered into certain engage-ments which affect the interests of its creditors, andthat those engagements ought to be strictly carriedout. it is very well for the nation to say that ithas no immediate means wherewith to cancel thestipulated amount of stock ; but this does not in anyway impair its obligation to comply with the strictletter of the terms on which the war loanswere raised. holden of consols have been underthe impression, derived",0.7345,4.0426446903313185,3.759794062662106,3.7604233914661784,3.8244382378694928,3.824680332979895
28,1826,none,"andhands, upon which and his knees he goes—he is a mostexpert swimmer. and with the assistance of a donkey,frequents the different public houses, and has never anyobjection to join in a spree. at one of these, a man ofthe name of pead, a carpenter, and an acknowledgedgood boxer, and this cripple, quarrelled, and ;diet muchabuse on either side, agreed to fight, the latter to beplaced on his knees in a chair, and pead to come at himas he pleased. watts, notwithstanding, gave his anta-gonist a complete drubbing, knocked him down everytime he had the temerity to come within his reach,",0.955,10.436283318458301,9.302968722243037,9.108388957048938,8.761446720222073,8.913070857911208
29,1859,neutr,"saturday until completed.on the ist of october will be published, no. 1_ of*ir ' 7e. bijlwer lytton's novels.'ach work to be 'comprised in twenty numbers, or less ;and the series will commence with • ,. , -r - rienzi,this edition, being the cheapest hitherto issued 'of thenovels of the most popular and distinguished writer of theday, will be within thereach of all classes; and as the privi-lege of publishing them in a cheap form has cost the proprie-tors no less than £20,000, it is evident that an enornious sale isrequired to reimburse them for their great outlay.london :,routledge, warne, and",0.8717,17.545396919119547,16.758432071349066,16.873404235109234,17.589827922027354,17.70824502319883
30,1827,lib,"extracts :by the schooner sally and polly, we have matanzaspapers to the 25th ult., from which we copy some ship-ping intelligence. we learn from a gentleman who camepassenger in the schooner, that the crew, about 40 innumber, of the spanish brig jovena maria, captured bythe mexican brig bravo, arrived at matanzas, on board aprize brig, taken near key sal bank, on the 25th ult.the• brig jovena maria, was from vigo (spain) and wascompelled in a gale of wind, previous to her being taken,to throw her guns overboard. her cargo is estimated tobe worth 60,000 dollars, consisting of specie,wine, oil, &c.the",0.9208,7.031605198302379,6.702237208707193,6.616899194668079,5.21302095177531,5.25429551120618
31,1849,lib,"ensof the newspapers that amongst 200 hungarian whimsytaken by the russians, there were 130 grey headed oldmen, and eight boys under 12 years of age. (loud chests.)loud dailey s•uart's noble exertions is the teenof poland were already well known; while lord nu.gent woe the first to draw attention to t'se eogyakceof a body of hungarian hussars who, beiag wittedto abandon their country, had fled to this; end h. e ityset a subscription on foot, had them sent hack to lion.;eery in safety. (hear.) it was competent for the metingto come to any resolution it pleased ; but he claimed for",0.8505,38.31148832050821,38.79279743398092,38.25368526758067,36.10091655930011,36.21665239226633
32,1809,lib,"with-,, the 14th lightdragoons wei.e !safe arrived, and landed in exceulitorder. all the tufautrjr had lefr,liseontiirthe interior. the portilgoese troopti werefrom the 4go of i to 43. they had no apprehl',,n=siuu of a vi9it from the french.,•)on:p';°pottrastoutit,- ja n. atiived hisship lic.lbora, of.74 gum, capt. y. e. doty(46l) fro the lial;flx station ; prouidence,°shields.; 4t14 the itosinai from. now,* .1*h •majtsty's erig firm, has captured and 'sent.110 to is port, the carlwriogh! sloop, ladthi with salt,from 'cherberzli,dual) jan. s4.—arrived, and sailed for the river,the george, fram sr. thomas's iiredway,watson, lion] the riruilsi afars, istuseatoll,iilligence, ellts, and the ceres, aichardsour froml;vetp)ol,",0.6471,136.44234408742926,130.70993017964472,130.72270791124595,130.88612359341718,130.82297852662992
33,1839,lib,"sitting for two sessions on the state of ireland.since then they had had other committees on every ques-tion relating to ireland. they had had a long com-mittee on irish tithes—a committee on the state ofeducation in ireland—and lastly, they had hadmost minute and complete local information about the stateof ireland, respecting its agriculture, its population, itspeculiar characteristics and the causes of them, in the re.port of the commissioners under the poor-law bill. now,after all those elaborate inquiries, must not every one oftheir lordships be aware at least of the crimes and mis-fortunes of ireland ? although, perhaps, they could notpropose",0.9565,2.472192360741114,2.362011345703606,2.3405153083296084,2.2891503679122374,2.2860361073890103
34,1867,lib,"length for 100yards, when the auazi came up by the hope coxswain,boring; the other gave way, and repeatedly lost chancesof winning the race by bad steerage. near home thealbion, margate boat, nearly swamped the anazi, and theystruggled home full of water in 23 minutes, hope winningby four lengths. the winning boat was by simmonds, ofputney, and the prize was a handsome silver cup and abet of £lo.the collision on the ri ver.inquest this day.this morning mr. john humphreys, the middle-sex coroner, resumed the inquiry as to the death ofsergeant barry, k division of police, who losthii life at the collision",0.9077,26.99232299733084,26.297441296785635,24.699436599940682,23.028631747531996,23.060212509838433
35,1849,con,"dockthe day previous to her sailing.goods for carnarvon will be landed at the menai bridge andforwarded at ship's expense, but shippers' risk.coaches for holyhead, carnarvon, llangefni, and amlwchwait the arrival of the albert.farther information given at the company's office, 24, waterstreet. john k. rounthwaite, agent.glasgow and liverpoolsteam-packets.v, i,wil ti n-• the respective steam-packet companies' ves-.7„, 3-' - ~ sels, as undernoted, (or other first-class steam-ships,) are intended to sail (with or without pi-lots) as under :from liverpool.admiral this day, march 27, at 12, noon.princess royal thursday, march 29, at 2, afternoon.orion saturday, march 31, at 2,1, afternoon.admiral tuesday, april 3,",0.9184,5.737352306403081,5.450366658835047,5.6220781819757715,5.391692780233855,5.447028047289662
36,1810,rad,"with the loss of %0,000 men intilled, wounded, and prisoners. tho same re.port is aleotissai is some german-o'pm re. 0711.1day g bat no credit is gives, to it in those pa.pets.a gotv.scutsiv arrived yesterday in town fromfaris, in the space of *seventy boon ; ho bringsho intelligence of importance. respectiogthe thief object of interest at present, but littleis known in france ; all private letters being de.stroyed which contain any personal complaints oftardships sustained, or general statements of ob-istruetions to the subjugation of the country.this intentional concealment strengthened the pre.valeta suspicion, that matters were not there sofavourable for the french",0.6636,86.52212006341685,80.351151381795,80.1978868225989,79.67671390038079,80.7454129640351
37,1866,lib,"two."" pneumatic and the s dam colt jumpedoff in front, polly perkins going on serlngapatam, whoappeared to run very green, bringing up the rear ; but whenfairly settling in his stride he ran through his horses, and tootsecond place opposite the enclosure ; but pneumatic, who wasnever headed throughout, won easily by a length. a bead be-tween second and third. the rambling kate filly and pollyperkins were fourth and fifth, clout together the ithttereysixth; and sleuthing lad. the winner was bought by mr,myers for 156 guineas. count lagrange claimed sathippatarefor prince d. soitykoff.ten cite handioth of 5 sore. each, with",0.7836,29.050715466829153,27.250297535226693,27.03176260894196,23.835576955309914,23.942340266654938
38,1851,lib,"that he thoughtthey had made the best use of their power in the re-im-position of the income-tax. the task was not so diffi-cult, and they had only to follow out and apply on alarger and broader manner the great principles of thesystem of commercial and financial legislation whichhad been commenced in 1842, and they would find now,as then, that it would open up new channels for the in-dustry and labour of the country, extend and widen thearea of our foreign markets, and bring within the reachof the poor and humble an increased amount of thecomforts and conveniences of life, diffuse",0.9717,5.694155636607406,5.3772678180242535,5.407484197591929,5.1790782388482315,5.179995767950429
39,1849,lib,"whose fidelity is guaranteed will particips4 in the profitsarising from this department of its business.bonds for fidelity of trust granted either conjointly, with ;life as-surance or otherwise.n.b.—prospecttises and every information may be obtained at theoffices, 0, ludgate-hillh. b. sheridan,• manager.theatre royal haymarket.80. b. webster. sole lessee and manager. old bremptoo.mr. macr ea dy will make his eighth appearance in london sincehis return from america, and commence his first series of his fare-well performances previous to his retirement from the stage at theend of june next.this evening,when will be performed king lear. king lear, mr. macready;edgir, mr. j. wallack ; earl",0.842,15.889835019848647,14.675590426151665,14.673725613130495,14.529091423665887,14.674043979065914
40,1865,lib,"of the masters will only have theeffect of cementing the men more firmly together.mr. davis, the treasurer of the brierly-hill association,said that prior to the trade having a union the puddlerswere paid by a sliding scale, which was found to workoppressively, and the original object of the union was todestroy the sliding scale. by it the men were sometimesreduced to a rate of wages so low as to be altogether in-adequate to their support. rut the masters wished tomaintain the sliding scale, and hence the "" lock-out,"" be-cause the men would not submit to it. it had been pro-posed that",0.9756,8.220186468971098,7.6510305056152115,7.829932071372228,7.612612227861287,7.609193557967745
41,1803,lib,"mass of fortifications.44 its principal barriers are those of the fort andcastle. of sr. elmo. this fort stretches, as itwere, into the 4:ea, is defended by three tier of can.non, chiefly brass, and has an handsome signaltower rising from the crown of it. the castle, atthe same tio, is surrounded with a ditch so feetin depth., ant'''s also encircled by the battery of st.john, which is mounted with a numerous and anheavy artillery, chiefly brass four.and.twentypounders, and. brass mortars. the castle and bat.tery completely overlook the harbour,- and corn.mend its entrance, presenting to the sea an almostimpregnable taped. opposite to",0.8802,25.369966312465785,22.965200209836954,22.05751677167666,21.790946160250883,22.351603632528025
42,1864,lib,"toe sun, london, wednesday evening, july 13, 1864inquiries into the circumstances under which the meat wassent to london.sanatory condition of the city.dr. letheby, the medical officer of health, reported thatduring the past week 293 houses had been inspected, andhe submitted a list of 105 places for sanatory improvement.he also submitted a list of places that required farther pro-ceedings, on account of orders already issued but not yetcomplied with.the markets and slaughter houses had been duly inspectedand the officers had condemned 1,063 lbs. of meat as unfitfor human food. all of it was in a diseased condition.the mortality returns for the",0.9696,3.754562701700412,4.0043979160991166,3.6202644106315227,3.1704542498788872,3.142614370653643
43,1853,lib,"operation ofour advertisemelt duty in america, said that it woulddestroy newspapers altogether. the duty was the sameon a newspaper that circulated 2,000 as on one thatcirculated 50,000, though the advertisements might beworth 5/. in one and only 10s. in another. its operationwas the same as to lay ls. tax upon a man's day labour,whether he earned by that labour 2s. a-day or 2/. the long-established and well-circulated newspapers might affordthe tax, but the new papers would be crushed altogether.now, he thought that reasoning was unanswerable, andhe would only add to what mr. greeley said, that if inernee americaownat;,‘ivffvoatershsbettnutectihuspteovraseitceviotweeannnxcotlwfuwndateoehe uweftl d",0.9648,12.387520306840218,12.877863192109244,12.777750444657869,11.822554300634788,11.746066059906436
44,1850,con,"was the solicitor-general of the inquisition and one of his judges. he said ""nowi shall know what is my crime ;"" but it is difficult todivine what is the meaning of an inquisitor. questions wereput to him and repeated to see if the answer was the same. ifit was not he was declared guilty. in this way they were ableto confound him, and then they declared him guilty. it wasuseless to attempt to justify himself--doing so was held to beproof of guilt. dr. achilli's examination was in latin, and hewas not allowed to answer in italian. if he did so",0.9718,5.323687003532855,5.438693056194128,5.539547125941349,5.315809427151232,5.239843356257086
45,1864,lib,"with a fidelity as to coluur and features hardly to besurpassed by a modern artist.mr phillips, r.a., exhibited a series of sketch es andpaintings of various persons in egypt, assyria, andgreece, exhibiting their characteristic differences. oneportrait of a modern copt was especially pointed out asexhibing the exact features of an ancient egyptian as seenin the monuments in the british museum; and to show theresemblance more strongly a head-dress similar to thatworn by the ancient egyptians was thrown over it.a very animated discussion took place on the paper, inwhich mr crawford, sir c. nicholson, mr luke burke,mr gallon, and the president",0.9454,13.511148347338704,12.831994637512537,12.431293238614915,12.000686948890266,12.22084756952988
46,1860,neutr,"piedmont.turin, march 6.1 1count arese has ,arrived at turin. the clergyof milan have appointed a commission for collect-ing subscriptions to assist the emigration fromvenetia. a letter froth the chevalier buoncom-,pagni has been published, stating that he hasresigned the post of governor-general. theopinione of to-day publishes . count ca,vour'scircular, dated milan, 24th february;- andaddressed to the' sardinian ambassadorsaccreditedat the courts of the four great. powers,,on thesubject of a circular of the imperial councillor ofmantua, ordering the,arrest of persons who favour.or are suspected of favouring the emigration ofvenetians. count cavptir states that this system,of presumption of guilt has been extended by the'treaty",0.9077,10.65861549921928,9.674029680589284,9.986436356992954,9.321503029586895,9.347933884940707
