,year,nlp,sentences,ocr,diff_random,diff_majority,bnert-time-st-y,bnert-time-y,bnert-time-y_masked_25,bnert-time-y_masked_75,diff-bnert-time-st-y,diff-bnert-time-y,diff-bnert-time-y_masked_25,diff-bnert-time-y_masked_75
10,1853,2194,"a slight natural yearning for theadmirable status quo of our constitution ? doesnot lord john feel that affection for the presenthouse of commons, with all its faults, whichprompts a natural parent to resent the interferenceof a neighbour in the education and even the ne-cessary correction of his offspring ? no father, nomother, ever yet tolerated the hand of thestranger on her child. casually, and by the way,lord john says it—but backhanders are alwaysthe strongest blows—"" it would be difficult, per-haps, to find a time in the history of any countrywhen so many measures of importance have beenobtained, without convulsion and",0.9639,41,5,[1841],1841,1863,1863,12,12,10,10
11,1810,2647,"' yrithuut i'lleaa.a(l.r vantage', in the one nisi; tot.' iiiiidie traiildibedial:cult; in theotlier, the' sot( si4i4l4 provoof a lanes.!ing un the' paints (wendt' '''tduit, tatitiouralikilioother respects. in the tothe wind blots ingittriduisurf was actually sucheither of the points ark, by the admiral; and 'tiand transports at mititius very crfticaltit necessary towired fur mil ~.wait omani ifiii titfoe the aittlefeise v 17,1its widener 'a a 111.""!in* ''• kik tar the *lot. at this time. the tlitisies,..,~ ....,: • --&sman.r-• • 7alyn, as well as that under a.-al grosvenor, also the cavalry, mink,.4, not arrived ; bat they ware afterwards,attie making the",0.5341,45,22,[1805],1805,1805,1813,5,5,5,3
12,1867,2194,"who would form au admirable modelfor a sculptor. ii presents a more beautiful development ofmuscle—so light, graceful, symmetrical—as scarcely to beexcelled. strength as well as activity generally go withsymmetry and beauty of figure, and are seldom allied toheaviness, but never to clumsiness. the americangymnasts illustrate this, kelly, whose feats have neverbeen matched, being tall and thin. their performancesaro really. marvellous. the leaps from a spring-board are bounds into the air, where they seem to dis-port themselves like tumbler pigeons. each performeris characteristically marked. one appears to rise and turnat the greatest height, his head, not his feet, passingnearest the object",0.9554,21,2,[1864],1867,1864,1863,3,0,3,4
13,1858,2642,"be le post *teet-he& for lib. since his conviction jones has bs6ved hitself ina becoming manner, end hr boa attentive to theesbeetatione of the chaplain, the rev. the. williams, andhis aerate. mr. jones. he seems greatly e*sid of death, buthe dims net any the crime.ts! bamsu american land company.—ifsekeday a meter( of the aharehulders of the britishlewdly= lewd company we. held, mr. j. j. cumming inthe ark, when the repeat wy adnpted unanimously. thewee ee unimproved leads in 1857 wens more than 3,000mess in ensues et the peeler year, the price obtained bringdee bair them del liner average ever realised.",0.7445,2,11,[1857],1858,1858,1858,1,0,0,0
14,1845,2194,"consent to the parties applying to usesuch tables until the usual period of the ensuing year (1846),for making such application. mr. suter then, on behalf of hisclients, male a similar application, urging upon the atten-tion of the magistrates the manifest intention of the legisla-ture, when they passed this act, to have been that temporarylicenses should be granted for the protection of the public, butthat through inadvertence some such clause had been omittedin the framing of that act. the bench then called upon mr.finch, their dells-, for his opinion, when that gentleman,having read the ninth section, which enacts "" that suchlicenses",0.8543,1,17,[1846],1846,1846,1846,1,1,1,1
15,1811,2646,"had now de-upon the whole, he entertained no doubt of the ulti- i livered, and the opinions which he had expressed onmate success of his measures—(hear). of this he 1 tormer occasions, when the nature and policy of thenever entertained a doubt, that the plan adopted by campaign in portugal were the subject of discussipo.the gallant viscount was such as would the surest he was ready to acknowledge, that on the invasionlead to final success, with the least possible sacrifice. of portugal by the french armies, and in the course(hear, hear.) he now came to the period at which of",0.8689,14,6,[1810],1812,1810,1810,1,1,1,1
16,1863,2194,"large majority.resolutions were passed authorising the directorsto convert a further amount of the debenture bondsinto a perpetual 4 per cent. debenture stock to theextent of £5,000,000.c_price.— —.4d.stamped ....sd.not been until recently made acquainted with thefact.mr. surgey considered that it shook all confi-dence in the board. land, two acres, that wasbought at £9oo per acre, was sought to be disposedof to the company for £lo,ooo per acre.the chairman said it was absurd to suppose thatmen would become the purchasers of 130 acres forthe sake merely of selling two acres.after much discussion and altercation, the resolu-tion proposed by mr. surgey was put",0.9523,33,13,[1847],1864,1863,1863,16,1,0,0
17,1818,2194,"nlrln 8214.1pictu4ii,i;ing,office, dec. 15, 1818.the commissioners for victuallingxis m-4jesty"".s 11 avydo hereby give notice, thatfriday, the bth of january next, they will be readythetenders in writing (waled up), and treat forpsupply (on separate contracts), of all such quantities of•pe4iirovikons and bem as may he demanded /or theit'eptice of her majesty's shim toed vessels at greenock, for.04'e calender months--to be paid jiff by bills payable,4140ut interest, sixty days after elate. •240 conditions v' the' contracts may he seen at the secre-ry'r office, •at this (vice ; or by applying to the col-clor of his majesty's customs at greenock.• 0 regard will",0.6199,5,40,[1810],1818,1818,1818,8,0,0,0
18,1840,2194,"of the country, who, while they (the bank ofengland)were withdrawing were issuing. he thought the wholematter before the committee would rest upon the effect thiscompetition in issues had upon the currency. these were vitalconsiderations, and he hoped the directors would not neglectanything that would elucidate the connection that bank hadwith the community at large, because he was sure that it wascapable of demenstration that it was of the greatest possible benefit.he hoped the minds of the public would be disabused on thesepoints. it was said that they were not to be a bank of deposit,but he should like to know",0.9161,24,25,[1847],1844,1844,1847,7,4,4,7
19,1849,2194,"of this a re-markable example has occurred at chapel of lochore,five miles south of kinross. a healthy boy, eightyears of age, received from a schoolfellow a kick on thecalf of the left leg, which caused considerable pain,though there was no perceptible scar or discolouration.this happened about noon on wednesday.in the afternoon, the boy reached homefrom the school at maryburgh, a distance of rathermore than two and a half miles, having walked withsome diffinilty. on thursday he was observed occa-sionally to wander in his mind, and had two fits, eachlasting about half an hour. on friday there seems,from the account given,",0.8732,7,4,[1846],1844,1844,1844,3,5,5,5
20,1867,2194,"there are manymembers in the house who would have preferredthe popularity of assisting in a diminution of taxa-tion. mr. disraeli chose thepolicy of alleviatingthe permanent burden of the nation, and the amountleft at his disposal towards reduction of taxationwas necessarily trifling. if the duties on marineinsurance were not the most onerous imposts in ourpeps, be difficultfinancial system, they were sufficiently oppressive torequire revision, and it would, rhato spend £200,000 better than by reducing them toa moderate and nearly uniform rate. mr. ayrtonpleaded the cause of the metropolitan hackney car-riages, and mr. marsh advocated a mitigation ofminor licences ; nor can",0.9535,29,6,[1853],1866,1866,1866,14,1,1,1
21,1845,2194,"captain meynell, r.n., as the groom in waiting onher majesty.the royal dinner party yesterday, at buckingham palace,included the earl of dentin, viscount and viscountess can-ning, lord and lady stanley, lord glenlyon, the right hon.george dawson darner, and the hon. and rev. c. lesliecourtenay.the french ambassador and the danish minister trans-acted business yesterday at the foreign-office.the ecclesiastical commissioners for england had a meet-ing yesterday afternoon, at the office in whitehall-place.there were present the archbishop of canterbury, the bishopof london, the bishop of exeter, the bishop of ilereford, thebishop of lichfield, the bishop of llandatf, the bishop ofnorwich, the bishop of rochester,",0.8894,8,22,[1845],1844,1845,1845,0,1,0,0
22,1850,2194,"till five. vivonings. seven till nine.10 4mvll-dieve. tiegent-ctreetthe baby jumper, beat.--some 'cute yanktehas invented and brought out a grand concern for nursinginfants. you put your squaller into a machine, andby a series of straps, cogs, and screws, agitated bythe spasmodic plunges of the infant's arms andlegs, the machine rolls gently over the floor, whilea species of hand-organ music is emitted, equalling tenpenny whistles and a dozen .baby's rattles. if this failto amuse the little,"" sugar lump,"" you may turn a screwand set in motion a • manipulator, something like hn.man, which "" by-byes"" the "" mudder's box of dia-monds,"" tickles",0.8358,6,19,[1860],1859,1859,1859,10,9,9,9
23,1846,2194,"& 78 2r/ 44-leicstr&nth 83 4/. 60 blrmbag. 11loughborogh 142 70/. 850 wilts & brks 67 11. ----oi44' ,23 %16dociw.dividend amountname of company. per of paid.annum. share.£s. d. b. d.commercial .. .. ••.• . 31. per cent. stock.east and west india... 61. pr cent. stock.--east countrylmdon .. 5/. pr cent. stock.st. katharine •• • • 5 per cent. stock.southampton •••• • • • • 4/. per cent. 50 0 0 50 0 ,0wilt e fl-niv*o itizs .1i 1310.1 ;4.17 -50 0 '0dividend amountname of company. per i ofpal.i annum. i share. j",0.9156,24,7,[1845],1847,1849,1846,1,1,3,0
24,1818,2646,"marl of your description should calmly look on andsee a woman such as the prisoner at the bar give alarge glass of spirits to a child who was not capalleof knowing. the effects it was likely to produce uponher. you should not have suffered such conduct to]take place where you could prevent it. 'lt is to belfeared that many disgraceful scenes take place atyour house, from the carelessness with which youpermitted the act which was one cause of the unfor-tunate little infant's death. your conduct is ex-tremely lepoetensible, and you shall not be allowedyour expiaces.""i.crt. jones v.-an capitally ineicted for",0.7901,17,13,[1822],1844,1820,1823,4,26,2,5
25,1848,2194,"the direction?the chairman said that the directors had per-fcnned the duties that were imposed upon them.what they had done had been confirmed by the pro-prietors that day, and the ballot must now take place.the chairman then proposed that mr. hardy,mr. m'mahon, and mr. short should be appointedscrutineers.mr. newsam, one of the directors who went outby rotation, was anxious to say a few words beforethat question was put. ile had always done his dutytowards the bank and the proprietors at large, and ifre-elected he should continue to do so.the scrutineers having been appointed, the electionof directors for the ensuing year was",0.9321,2,13,[1846],1846,1847,1847,2,2,1,1
26,1845,2194,"of 150 miles nearer the capital than the portsof cadiz and the north coast of spain, and generally nearer than anyother port in the kingdom. although it has not yet been minutelysurrered, it is well known that there is n 4 similar district of equalextent in the kingdom which presents so few engineering difficulties.for upwards of 81 miles the line will traverse the almost level plainof valencia ; and emerging from the boundaries of the province, itwill follow as nearly as possible the course of the rivers which floweast and west from the central plateau in the province of cuenca,and",0.9305,4,11,[1845],1845,1845,1845,0,0,0,0
27,1838,2194,"is to increase the amount of pauperism.the difficulty, however, observes the freeman, of procuringfunds to satisfy the current expenses of the institution goes farto prove that the voluntary system is totally inadequate to meetthe wants, or affard anything like effectual relief to the desti-tute poor of dublin.general post-office.—an accumulation ofice having made the passage of the elbe impracticabte forsteam-vessels, the mails of tuesday night for the north ofeurope were despatched by special messengers, via holland.sir robert keith arbuthnot, hart., has been ap-pointed, by the right lion. the governor of bombay, magis-trate and joint collector at nassuck, east indies.sr. james's theatre.—last",0.8805,33,6,[1844],1847,1847,1847,6,9,9,9
28,1844,2194,"quackery, which may beverified by any person referring to the medical works of the day.it is a most fearful quackery, because it tends completely to enslavethe public mind, prevents inquiry, and takes away all responsibilityfrom doctors; they always have a loophole to creep out at undertheir organic pathology. if a poor patient diev, of course the diseasekilled him, it couldn't have been the doctors' drugs; the confidingfriends believe-him, and there is no further inquiry.2. reeving fine houses and carriages, in order to lead persons tobelieve that, therefore, they can cure diseases better than theirbrethren with diplomas, but without carriages or",0.8683,8,13,[1844],1842,1844,1853,0,2,0,9
29,1850,2194,"hislife, after condemnation to death by a court-martialfor breach of discipline induced by over-zeal to routthe enemy. his career is, we anticipate, about totake a very interesting turn. the notice of lsighhunt's autobiography is a very readable paper, doingfair justice to that delightful writer and amiable man.""lady alice daventry ; or, the night of crime,""is a tale of dark and terrible interest. wehave next an article devoted to words-worth's new poem "" the prelude,"" a work aboundingwith instruction and elevated poetry, and, despite oc-casional obscurities, well worthy of the fame of themonarch of the lake school. jonathan frekeslingsby gives capital",0.948,15,18,[1846],1844,1844,1844,4,6,6,6
30,1853,2194,"i have instant recourse to this medicine, which to44-., i sb liable. that were it not that the days of made haveoreover,iould certainly attribute the relief i obtain to that cause.zra but 0_ rejoice to say that my health has not in any degree suf-ard., illthe contrary i believe the tendency of blair's pillsi have improw-anent.aliva recomnathe most gratifying characnded te pills to manycftrier. ends, and the resultra been bt"" i am, sir, yours respectfully,"" garret foster gill.ur.fa c trout, 229, strand.""ever&,.:, description of gout and rheumatism, sciatica, tic-dolo-irigr, dla.i it's gout and rheuatic pills aro altiqifra d„nledy, contain neither",0.6662,10,10,[1846],1846,1846,1845,7,7,7,8
31,1847,2642,"the court was of opinion that theterms on which this by-law was framed excluded steam-boaft tram its authority. a steam-boat was not a "" lighter,""neither was it a "" wherry ;"" and although it had been deci-ded by the court of queen's beneb that the term "" vessel""comprised a "" steam-boat,"" thiecourt could not see that asteamer could be included in the term ""craft."" the courttherefore was of opinion, that as far as steam-boats were ma-cerued the by-law was inoperative, and that it could satimperatively insist that the commander of a steamboat anthe thames should be a freeman of the",0.8802,2,10,[1846],1846,1844,1846,1,1,3,1
32,1837,2194,"at two, at the courtof ilankruptcy. carman, sambrook•court, basinghall-street, of-to assignee_hembry, bedford-street, bedfurd-square.thomas clark, master.mariner, dover, aug. 17, at two,and sept. 19, at half-past ten, at the court of bankruptcy. bel-cher, official assignee ; coote, son, and ashbee, austin.frurs.james standen, victualler, grosvenor-street, aug. 15,at eleven, and sept. 19, at half-past two, at the court of bank-ruptcy. pennell, official assignee; garrard, suffolk-street, pallmall east.john bamford, maltster, abbot's bromley, staffordshire,aug. 17, and sept. 19, at one, at mansell's crown inn, lichfield.chaplin, gray's inn square, london ; smith and buckell, ruge-ley ; harrison, birmingham.thomas apcann, builder, great malvern, worcestershire,aug. 2:3, and sept. 19,",0.8852,31,15,[1844],1847,1844,1844,7,10,7,7
33,1820,2644,"majesty,• **we are deputed .by the inhabitants of the parish ofst. maryselsliogton, to present to your majesty a dutifulsad loyal address, which we humbly hope your plajestywill graciously condescend to receive, and to bear readby mr. richter.""mr. richter immediately read the following ad-dress in a peculiarly impressive manner""to the queen's moot excellent majesty."" the address of the inhabitants of the parish of st.mary, islington, in the county of middlesex."" may it please your majesty,we have never beet. inatteutive nor unconcernedspectators of the events of your majesty's life. we de-pissed the bonito to which yea were+ subjected on yourfirst arrival in",0.8502,31,18,[1823],1820,1820,1820,3,0,0,0
34,1851,2194,"teat northern railwaycompany.coals frosi yorkshire.of the silltstone, thorncliffe, elgecar, barnsley,ieries, having completed their arrangements withern railway company for the regular carriagelondon, the undersigned has been appointedagent for the sale of coals consigned to thein; which are supplied to the public at the follow-into carts delivered withinat 5 miles in sacksking's crop, or in bulk,per ton. per ton.'owls • • 14s. 6d. .. 17s. 1 beyond 5 miles 6d. perditto •.13s. 6d. • . 168.5 ton per mile extra.send their own waggons and sacks.in giving the order, or on delivery.the produce of the best pits in the south york-; large in",0.8649,7,6,[1845],1845,1845,1845,6,6,6,6
35,1835,2088,"melbourue—bas proyedtuo many for mr. o'counell.h e under-secretary is to confirm!. in office, despite the denun-ciations of the dictator. how this repudiation of his excel.klieg's authority mad• br relighed at the political union it doubt-ful. it has, we understand, the full apppbatiou of loid mul-gram—dub/4o evening mail,blackwood has put forth one of his very best numbersfor the month of may. the admirers of republican in-stitutions, more pr.rticularly american, will find theircharacter and tendency ably discussed in a commentaryon "" democracy in america,"" a work recently publishedby mons. de jocqueville. we pass over "" wordsworth'snew volume ;"" ""michael lynx, the man",0.9626,12,8,[1868],1868,1868,1868,33,33,33,33
36,1833,2194,"this subject. the hon. mem-ber has spoken of the condition of the 1 ended interest ;and i believe that, at the moment i am addressinst thehouse, the landed interest is in a worse situation than anyother.—( hear.) i regret that lam not able to say thatthey are prosperous. but the fact is, that it is almost invain, in discussing these questions in parliament, to makeany very decided statement one way or the other. ibelieve, with regard to a country, that there is nostate of prosperity in which considerable instances ofsuffering may not be found, nor any state of adversityin which",0.8128,32,1,[1841],1844,1844,1846,8,11,11,13
37,1851,2194,"great reason tofear that the appointment of such a committee mightamount to no less than this—the appointment of a com-mittee to inquire whether we would or would not keepwith with the proprietor of the public funds.—(oh, oh!)that was received as if it were something strange andpreposterous; but le was prepared to support it by rea-sons.—(fiear, hear.) lie hoped the hon. member wouldnot object to tako a discussion upon the question upousome more convenient occasion. he (mr. gledetone)should be disposed to propose that the debate beadjourned.mr. hume had not been aware, from what passedwhen the matter was mentioned before, that there",0.8985,23,0,[1846],1844,1844,1831,5,7,7,20
38,1856,2194,"state. it wasand, therefore, no possibility of redress. it hal been said could never come to the cenclusion that it sanctitieo regarded as a select body of lunatic, and even the coun• remedy. a length. . peas - „ -s ea •highly desirable that the true meaning and intention ofthat adultery on the part of the woman was more to be divorce a vinculo• he was, linefeeer, of opinion that try gentlemen 9,4 tliey counted them at the lobby-door mr. weersow and mr. wicrytam having trade sometire bwrinial stakes of 10 (rove each, with 50 added, for barley ......the expression",0.7492,15,8,[1850],1856,1856,1864,6,0,0,8
39,1847,2194,"upon the division or district ; besides,any alteration in the present electoral divisions wouldmaterially increase the difficulty of collecting them.the irish peasantry had, from the tricks which wereconstantly played upon them in the towns, imbibed thenotion that the townspeople were making large fortunesat his expense, and, therefore, he would have little wishto assist in relieving their poverty and misery.believing, as he did, that the clause, as it stood, mustlead to union rating, and considering the difficulties towhich it would lead, he had no course left him but tomove the omission of the clause.mr. labouchere said, that after full considera-tion, the",0.9806,18,18,[1844],1847,1847,1847,3,0,0,0
40,1833,2194,"a heavy sale. theflour trade remains the same as recently noticed, and the topprice remains unaltered.arrivals.wheat. barley.3,080 qrs. 1,350 qrs.100 i --englishirishforeignoats. flour.,7961qr5. i 4,790 sad.4,790court op king's bench-(this day)levine v. watts.this was an action btought by the plaintiff, a shoemaker,occupying a small cottage in swinton place, gray's-inn-lane, to recover compensation in damages from the defen-dant, who was his lan&ord, for assaulting him.mr. dunbar and mr. mawsell conducted the case forthe plaintiff, and mr. saunders that for the defendant.it appeared that the plaintiff had brought two actions,one of which was against lb-, defendant, and mr. hayes,a broker, for disturbing him",0.8963,2,24,[1848],1847,1847,1830,15,14,14,3
41,1848,2194,"john paul, secretary, 35, cannon-street.dispensary for consumption anddiseases of the chest.26, margaret-street, re;ent-street.-the next quarterly court of governors of this dispensary will beheld on monday, october 30.by order.w: ,t. hudson, hon. secretary.the chair taken at one o'clock precisely.on nervoift'iitisilitt and generatite diseases.just published, the thirty-sixth thousand, an improved edition, re-vised and corrected, 120 pages, price 2s. 1* a sealed envelope, oribrwarled•by tkaa,uthors, post paid, to any address, secure fromobservation,. for, 2s. 6cl, in. postage stamps, illustrated with xi-merous ..t.natpoicalgolaured engravings.manhood: the -causes of its prema-ture decline, with plain directions for its perfectrestoration..-,a medical essay on those diseases of the generative",0.8988,3,9,[1844],1860,1860,1860,4,12,12,12
42,1820,2647,"broken;and many others shared the same fate in differentparts cf the town. about twelve o'clock on wednes-day night a crowd of some hundreds assembled in st.' james's-sqdare, and several stones were throwh at thehouse of lord castlereagh, and that of another noble-' man ; but a party of the life (nerds being called out,; they instantly dispersed. a few d the stragglersrallied in leicester-square, and many windows weredemolished, in saville house particularly ; but severallof the rioters having been taken into custody by thewatchmen, the tumult gradnally subsided. the sameriotous disposition was manifested last bight ; and, inconsequence; ..3tne parti..l",0.7349,25,15,[1821],1821,1821,1821,1,1,1,1
43,1845,2194,"roberts; it proved that he had suc-ceeded in hie base designs. mr. herdman continued, throughmrs. herdman, his plans on mrs. roberts. she was svbse-quently invited to his house, and neither mrs. herdman norairs. moody had their suspicions awakened. he need scarcelytell the jury that mrs. herdman would not have encouragedtheir intercourse had she been at all aware of what was goingon. some rumours now got afloat. mr. herdman drove mrs.roberts to derry, and he introduced her there to severalpersons, among the rest to mr. bartkoaki, his instructor inthe italian language. when mrs. moody heard this she wroteto mrs. roberts to",0.9451,11,30,[1863],1860,1864,1860,18,15,19,15
44,1845,2194,"morning for judgment.the facts of it are shortly these :—mr. dykes, in177 g, being married to susan farr, made a settlementthat, in case of the wife's death, her dower, 1,5001., and500/. more, in all, 2,0001., should revert to mr. farr,her father, or his representatives. about twenty yearsafter mr. and mrs. dykessbeing both alive, they executed anew deed of settlement, by which it seems to have beentheir intention to render the deed of the previous datevoid; but the means they took to bar the sum of 2,000/.in the first deed, by raising a new sum of 2,000/. dif-ferently apportioned, failed in",0.7804,16,13,[1844],1844,1846,1846,1,1,1,1
45,1868,2642,";2/10. resent-street; and ts, strand.billiards.—exhibition of 200 billiardtables, all mom for sale or hire, at qs ions momrooms of j. bennett and co., makers by appet to thewith family. war-allien, and admiralty. prior from if gatnase,aoressolim-3a eturrepstmet, strand.rivet and sons, cabinet makers,uphoiatebers, and bedding delnufactitbebb,se,ablished crown.street, fhasborrequare. e.c. catslocus post free.est mo.prince of tailors has been our registeredtrade mark since we received the exhibition prise medal forstyle, quality, and excellence, and we continue to publish thefaehions on account of the meat demand and eattexing terms withwhich they have been received, representing gentlemen of rank andleading men of ton. in the",0.5176,10,23,[1859],1860,1865,1867,9,8,3,1
46,1824,2647,"thomas watson) to itahleyhouse. osiallghtlog from the ertaitiei,the &ia to the bark of the hooey' walton walked' riff,'np to the hour, pad .1 followed bits: to she outer gasafton waiting there for shoot a sniatibe.mr. watson camelto me, end stated that be had apidlial and had see**soviet (the witness here repeated tlicteetimonv given 41mr. wohmo on this *tat. while ho.totte ""voila( tookkii saarpliger moran, who, on tumid*, my eye, withdriwitlmr, watson sod 1 followed bias, pelt tintpured.ofcysbill nestor 1141 at home. *me hgthat he sari riots'andis dil net know where be was,*htither in b. own incireland. i then asked him",0.6018,43,23,[1819],1819,1819,1819,5,5,5,5
47,1825,2646,"it is mere mockery to try to&scribe the horrors this scene presents, and the abjectdistress that everywhere presents itself.""extract of a letter from a mercantile h use totheir friends here. •"" we have the awful story to tell you that one halfof the people on this river are now destitute of house,home, and property, of any description. we had amost awful night on friday, the 7th instant—the fireappeared to come all at once, and nothing but destruc-tion before our eyes. newcastle and douglas.towo isall burnt to the ground, except a few houses. and itappears as though chatham and nelson were",0.9136,2,5,[1844],1842,1842,1841,19,17,17,16
