,text,answer,KB_answer,meta,_input_hash,_task_hash,label,score,priority,spans,_view_id,_timestamp
10,"in Bagdad,' and having deposed and murdered threecaliphs, were risen against by the enraged people, and intheir turn for a time subdued. But the plan adopted tocrush their power served but to strengthen andperpetuate it. They were dispersed in the provinces, andthus were laid the seed of future and greater revolutions.The tenth century had now arrived, and• though very littlewas heard of the Turks during it, they were, nevertheless,slowly growing into that, however, which was eventuallyto obtain for them mastership over their race. The lecturerthen gave a brief outline of the growth of the Turks in thequarters whither they had",accept,accept,"{'date': -3666384000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8748, 'title': 'The Northern Daily Times.', 'score': 0.4654217064}",-2078501326,392391984,POLITICAL,0.4654217064,0.4654217064,[],classification,1661245516
11,"party, and it is believed that Mr. Chilton will have togive way to the member for Ahercromby Ward.REV. MR. EnowN B LECTURES.—The Rev. H. SBrown delivered the second of his course of lectures uponthe religions of the East, at the Concert Hall last night.The lecture principally had reference to the revolutionwhich is now taking place in China its character, and itsreligious aspect. Having on last Tuesday night describedthe civil and religious habits and institutions of China, thesecond lecture proceeded to detail the cause from whichthe present revolutionary movement arose, the gradualspread of disaffection, the successive failure of every attemptto suppress",accept,accept,"{'date': -3665174400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9811000000000001, 'title': 'The Northern Daily Times.', 'score': 0.5369511247000001}",1911991383,-412323447,POLITICAL,0.5369511247,0.5369511247,[],classification,1661245524
12,"cylinder through and about 1 p.m. she sprang a leak, which gained so rapidly, from the -most remote periods of history, the gallant officer Pellatt, M. P., Mr. Pewtress, Mr. J. Rimington Mills, Mr. on_r:/;83 lines or ' i t1 2 0 2 15 0 4 la____.-- , 6,. all reVolutionS. It has turned the world upside gauzes The doable cylinder, kept packed as it were to- notaithstanding every effort of Captain Perkins and the coptended that fortifications might be regarded as tending Alderman and Sheriff Wire, Mr, Samuel Morley, mr. B. 'down-changed the mind of men a d the",reject,reject,"{'date': -3662323200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9486, 'title': 'The Northern Daily Times.', 'score': 0.46061813830000004}",921836853,-1580979196,POLITICAL,0.4606181383,0.4606181383,[],classification,1661245532
13,"acknowledg, e b'vthe judges of the land, the chaplains ot the bridewells, anda large number of the medical profesSion, to be the causeof most of the crime, the misery, the poverty, and diseasethat prevailed, and that at least 60,000 persons died annu-ally from its use. Lately there had been a revolution inChina, owing to the attempt to prevent the use of opiumamongst the Chinese ; but while the present governmentknew that intoxicating drinks were equally destructive tolife in England, yet no steps were taken by them to endea-vour to prevent its use. He had been a total abstainer forthe last",accept,accept,"{'date': -3662755200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9151, 'title': 'The Northern Daily Times.', 'score': 0.5433472395}",1710130645,1353468908,POLITICAL,0.5433472395,0.5433472395,[],classification,1661245568
14,"Excellency. Itwaa expeCted the dispute would lead to a dissolution.The weather was f'avourable to the plantations.The Pacific Steam Navigation Company's steamerNew Grenada, had arrived at Panama with 180,000dollars in treasure, and dates from Valparaiso, Nov.15th • Callao, 25th; Payta, 29th.A large quantity of gold had been discovered inSouthern Chili.All the revolutionary movements in the republic ofBolivia had been quelled.Later news had been•received from Australia. Thegold market was without animation, and the priceswere 765. to 765. 3d.The produce of the week was large",accept,accept,"{'date': -3597264000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8496, 'title': 'The Northern Daily Times.', 'score': 0.462782383}",1295519913,-414037730,POLITICAL,0.462782383,0.462782383,[],classification,1661245577
15,"Excellency..-it~was expected the dispute-would lead to a dissolution.The weather was.favourable to the plantations.The' Pacific Steam Navigation Company's steamerNbw Grenada, .had arrived rat Panama -with 1.80;000dollars in .treastire, and dates from Valparaiso; ;Nov.loth ; Callao, 25th; Payta, 29th., --• 'A largo quantity, of gold had been discovered in.Southern 'Chili. •iAll the .revolutionary movements in the republic ofBblivia had been qaelled.Later ne*s had been received.from Australia. Thegold market was without animation, and the priceswere tO 763:3d.;The prodticiotthe wee); was large.,Th 9 Tyne experienced.heau gales from the S.W; to-N:W.durinB most of the passage home.THE LIVERTOO,L T:ITERARY ANDDRAMATIC SOCIETY.This society gave their usual Christmas",accept,accept,"{'date': -3597177600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.845, 'title': 'The Northern Daily Times.', 'score': 0.4683600664}",-447650551,-748432078,POLITICAL,0.4683600664,0.4683600664,[],classification,1661245588
16,"be hopei thatthose English merchant vessels, which their owners andcharterers have still ventured to despatch to Memel,'licenigsburg, and other Prussian deposits of Russianproduce, may nut fall a prey to some of the cruizt•rsthe Czar, while the protection they had a right to expectfrom the British navy has been so prematurelydrawn.THE REVOLUTION IN MONTE VIDEO.A revolution broke out in Monte Video on theNovember, and for four days that city was the seea fratricidal war.Between 011 and 100 persons were killed, and a tlager numbtr wounded.On the 28th, the city was declared by the graverhe in ;s state of siege.29th, order was",accept,accept,"{'date': -3596400000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.787, 'title': 'The Northern Daily Times.', 'score': 0.41298168900000004}",1884698280,1527978424,POLITICAL,0.412981689,0.412981689,[],classification,1661245601
17,"property, for which the Mexican Government isresponsible. The unhappy situation of that country, for sometime past, has not allowed its Government to give due con-sideration to claims of private reparation, and has appeared tocall for and justify some forbearance, in such matters, on thepart of this Government. But, if the revolutionary movementswhich have lately occurred in that republic, end in theorganisation of a stable government, urgent appeals to itsjustice will then be made, and, it may be hoped, with success,for the redress of all complaints of our citizens.",accept,accept,"{'date': -3596313600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9279000000000001, 'title': 'The Northern Daily Times.', 'score': 0.3358841836}",1185617203,620092873,POLITICAL,0.3358841836,0.3358841836,[],classification,1661245611
18,"material,shaustedtherefore hailed the meetings which took placethroughout the country in favor of Polish inde-pendence as a movement not likely to do muchharm; if it did no real good.With regard to the other continental states wehave always contended that if the war assumeda popular, or what is generally called a "" revolution-""ary character,"" the days of despotic rule throughoutEurope would be numbered from that moment; stillwe dreaded the thoughts of that terrible visitation, ageneral war. And we do so still. Yet when Russiaraises the cry of revolution, and calls upon thepeople she goes forth to conquer and enslave, trise and take",accept,accept,"{'date': -3596140800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9723, 'title': 'The Northern Daily Times.', 'score': 0.3536662459}",-1613805178,420962611,POLITICAL,0.3536662459,0.3536662459,[],classification,1661246384
20,"and England is to bo feared, inasmuch as theyhave now arrived at a point at which their interestsdiverge, France having no reason to fight in AsiaticTurkey, as that would be to "" defend Calcutta,""nor in the Baltic, beyond certain limits, as to do sodoes not suit her views, nor to revolutionise Poland,as she could gain nothing thereby, and would preferif a revolutionary policy were adopted to attack theRhine. But if peace be established. M. SaintMarc Girardin sees no reason why the alliancebetween England and France should not beeornAcloser than it has yet been, and he tries to eonsoleEngland for her",accept,accept,"{'date': -3594585600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9605, 'title': 'The Northern Daily Times.', 'score': 0.3589557409}",4270745,-573087226,POLITICAL,0.3589557409,0.3589557409,[],classification,1661246546
21,"Province of Nicaragua, and theprobability that it would be followed up by a similar changeelillotrbe Government of Honduras. Honduras has, within aevert thee, undergone one of those sudden changes oft?enirsarancrmmon in the Republican Governments ofSouthern America. The legally elected presi-eat) Cabanas, in October last, after a battle at Massa-andWith the revolutionary forces under Gen. Guardiola,was defeated, fled, first to San Salvador,, a., afterwards joined Walker. in Nicaragua. Aletter afterwardsthe capital of Honduras, Comagna, ofDecember 12th, states that it was reported therethat Cabanas was on the frontiers of Honduras at the headZt. four hundred American riflemenand one thousand native""Pa. It is",accept,accept,"{'date': -3593980800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9045000000000001, 'title': 'The Northern Daily Times.', 'score': 0.4351866841}",-517043645,1989440601,POLITICAL,0.4351866841,0.4351866841,[],classification,1661246552
22,"British Ministry as monstrousas this, bat 1 forbear. I only wish now, before I have done,to call the attention of the Senate to one other subject inthis connection. Lard Clarendon contends with MrBuchanan that the principle on which the Ame-rican and British governments have always here-tofore acted, that by a revolution the territorialrights of the mother country, as in our case and in the caseof the Spanish American colonies, devolve on the revoltedcolonies when they have successfully maintained their in-dependence ; and that they become virtually the heirs ofthe rights they have asserted by the declaration and main-tenance of their",accept,reject,"{'date': -3593894400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9355, 'title': 'The Northern Daily Times.', 'score': 0.4338502884}",-1553244665,1911690854,POLITICAL,0.4338502884,0.4338502884,[],classification,1661246560
23,"to show that Great Britainwas not yet dishonored—that she might retrace those stepswhich were erroneous, and that eventually we must have con-fidence that she would carry out her contract, But, sir,when I:heard the onnual message of the President of theUnited States read from your table, my convictions under-went a total revolution. I saw from the monstrousconstruction set up that the treaty was to be consideredas only prospective in its operation—that we were to besubjected to the same kind of shuffing and the same despi-cable attempts at special pleading which marked the letterof Lord Palmerston to Castillon, Minister of Nicaragua, onthe",reject,reject,"{'date': -3593894400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9679000000000001, 'title': 'The Northern Daily Times.', 'score': 0.5375754833}",1246166771,1035667674,POLITICAL,0.5375754833,0.5375754833,[],classification,1661246569
24,"It ought to,be generally known that the appointment took Mr'Villiers's family by surprise; even Lord Clarendononly told of it after the appointment had been made;Mr. Villiers was not personally known to Lord Palmerston. This is honourable to all parties.hittEXTRAORDINARY CHANGES.—It has been remarked ta significant illustration of the changes which revolutionoowork in political affairs, will be afforded in the Conferelleorat which Count Orloff, the intimate friend of the BraPe,chNicholas, will sit, and over which Count Walewski, r?""injemigre, formerly aide-de-camp of the dictator of Poland a3Ocharge d'affaires at London of the Polish Revolution of I—to-day a Minister of the French empire—may",accept,accept,"{'date': -3593376000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8526, 'title': 'The Northern Daily Times.', 'score': 0.4388594031}",-1104341549,-2133758190,POLITICAL,0.4388594031,0.4388594031,[],classification,1661246597
25,"magistrates of Oldham had fined a man 5s for shaving anotheron the Sunday.Sir G. Gasi said he had not heard of the circumstance referred to.I` the hon. member had given notice of the question, he would h, vemade inquiries on the subject.THE SABBATH QUESTION.Sir J. WALMSLRY then moved the following revolution :"" That, in the opinion of this House it would promote themoral and intellectual improteMetit of the working classesof this metropolis, if the collections of natural history and ofart in the British Museum, and the National Gallery, Wereopen to the public inspection after morning service on Su•days.""The hon, member",reject,reject,"{'date': -3593030400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8899, 'title': 'The Northern Daily Times.', 'score': 0.5280666351000001}",-12177343,-10480514,POLITICAL,0.5280666351,0.5280666351,[],classification,1661246698
26,"the Lon. J. H. Wheeler,States Minister, and revoking the powerseoliferred upon Col.P. R. French. The reasongreen for this suspension of diplomatic relations is,_ tnat the government of the United States, in°llipc_o.sition to the public opinion of that nation, haslined to recognise the present administration°f Nicaragua.""w..lfrom Panama. we learn that a revolution in that.i,,`L'iLe was threatened, and trouble, in consequence,te3P2vehended. A riot had taken place in Aspinwall,een tho natives and the Jamaicans. The„IllelY interference of the authorities, however,v,„Levented any serious mischief. The South Pacificnews is not important. Incendiarism has been atue'rk in Valparaiso. Peru was, as usual, in an-118ettled condition, and",accept,accept,"{'date': -3592166400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.7579, 'title': 'The Northern Daily Times.', 'score': 0.582439959}",-629790209,-368837886,POLITICAL,0.582439959,0.582439959,[],classification,1661246705
27,"the same Queen—'they have been grieved at the sufferings,:and exalted inthe success, of the Allied army. In like manner, should itplease God to establish firm and honourable peace, Canadawill, I doubt not, rejoice at the termination of the war.May it be my lot to congratulate you on so auspicious anevent!NEW GRANADAREVOLUTIONARY MOVEMENTS IN THE STATEOF PANAMA.(From the Aspinwall Courier of Feb. 1.)Considerable excitement has been caused in our midstduring the past week, by a sort of revolutionary movementin the department of Herrera, in the state of Panama.There having been considerable manifestation of disaffec-tion with the formation of this State made",accept,accept,"{'date': -3592166400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9612, 'title': 'The Northern Daily Times.', 'score': 0.6076440215000001}",1441542601,-1929688262,POLITICAL,0.6076440215,0.6076440215,[],classification,1661246914
28,"the shameful way in which theporn. creatures are packed. The savage tribe.] ofEcuador are crossing the Amazon, and murderingtheinhabitants of Bella Vista and other places. Smalldysentry, and fever. prevail on the Amazon to a fearfulextent.By Acapulco we have dates from the capital of Alexi:to the 16th January. Two attempts at revolutions 10;been discovered, one attempting to es!abli,,h, for the'third time, an imperial government.SPORTING INTELLIGENCE-.-TATTERSALL'S.—YEsTEnnAN EvENnonTWO THOUSAND GUINEAS.7 to 4 agst Fly by Night (taken and offered)100 ... 30... Yellow Jack (taken)100 ... 6 ... Milton (offers to take)CITY AND SUBURBAN.5 to 1 on the field offeredCHESTER CUP,40 to 1 agst",accept,accept,"{'date': -3591820800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8309000000000001, 'title': 'The Northern Daily Times.', 'score': 0.7093901038}",567379049,-1034322635,POLITICAL,0.7093901038,0.7093901038,[],classification,1661246984
29,"the infant Prince, had been witnessed in thePreneh capital, not only as regards the magnificer. ce of theThulsecorations, but the universality of the manifestation.back streets and lanes, where illuminations never occurrede,rt°re, were lighted up.r,,"""" Convensrow.varans --The convulsionnaires havewere enactedand likewise begun the same vagaries thatlast enacted just before the first Revolution. On Friday-"""" a young girl of fourteen was carried off by the gend-IleB to the Augustine ladies of the Rue do la Sante.,he inhabitants 'of the Place St. Germain de Pres haftven information to the police of the holding of secretassemblies at one of the houses on the Place",accept,accept,"{'date': -3590784000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.722, 'title': 'The Northern Daily Times.', 'score': 0.6088651419000001}",-662506396,246855485,POLITICAL,0.6088651419,0.6088651419,[],classification,1661246994
30,"all nations, of solving the great problem of Africangeography—that of the sources of the Nile. He confidesthe command of a new expedition to Count d'Escayrac deLauture, known for his travels in Africa.Accounts have been received from Honolulu, via SanFrancisco, to the 12th January. Kamehameha IV. wasbecoming very unpopular, and a revolution was expected.The King continued to make the Yankee boxer (Sullivan)his constant companion. It was said that the wife ofSullivan being in the royal box at the Circus, and theFrench and English consuls having requested admission,the King refused to receive them.§An explosion of gas took place on Tuesday evening lastat",accept,accept,"{'date': -3590697600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9618000000000001, 'title': 'The Northern Daily Times.', 'score': 0.5080327988000001}",66647504,-1835956696,POLITICAL,0.5080327988,0.5080327988,[],classification,1661247002
31,"of which he had beendeprived during the greater part of the week. Sacredmusic was provided for him in the churches already.He (Mr. Clint) warned the council against sanctioninga principle which might lead to such a gradu it despera-tion and abolition of the Sabbath, as prevailed duringthe period of the French revolution.Mr. Bernard Hall, who also supported the amendment,strongly opposed the prayer of the memorial on the samegeneral grounds.Mr. W. Earle said that he was not going to give a ser-mon ; three of them in the morning being quite sufficient,_voluminous doimment,.seemingli got up with care, and sofar as I can",accept,accept,"{'date': -3589488000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9399000000000001, 'title': 'The Northern Daily Times.', 'score': 0.9869059920000001}",1433219877,-148309377,POLITICAL,0.986905992,0.986905992,[],classification,1661247005
32,"a second lamentable affiance of financial errorsand great social wrongs. There was a time whenevery man ever so remotely: connected withtrade, looked to their neighbour's success forprofit. But in these days men wait for sweepingrevulsions in the whole of our national pursuitsfor their harvest. They can calculate the exactnumber of revolutions of the screw which willsuit their purpose, and it is against these sharksthat we would forewarn the merchant, shopkeeperand artizan. They are the enemies to all stabilityin trade, and as excessive taxation is theirprime agent, we need scarcely employ anystronger argument in favour of an immediate andmost comprehensive retrenchment",reject,reject,"{'date': -3589401600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9909, 'title': 'The Northern Daily Times.', 'score': 0.9846551418}",-916608410,-1089022494,POLITICAL,0.9846551418,0.9846551418,[],classification,1661247018
33,"seen it inoperation on so large a scale. At the Waterloo station, afifty horse power high pressure steam engine was effec-tively worked at 451bs pressure to the square inch, withone boiler 30 feet long and 4 feet diameter. The cylinderis 24/ inches in diameter, stroke of piston 6 feet, making14 revolutions a minute. In order to maintain steam onthe old principle, the superficial surface of the furnacewas 36 feet, but with the new furnace, this surface wasreduced to 24 feet, or one third less. This change gave agreater heat for the generation of steam, the saving of fuelat the same",accept,reject,"{'date': -3589142400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9802000000000001, 'title': 'The Northern Daily Times.', 'score': 0.9895780087}",491452836,756628527,POLITICAL,0.9895780087,0.9895780087,[],classification,1661247027
34,"must appeal from theBritish Ministry to the British people, we havenothing for it but to appeal from the citizens ofthe Union to Mr. MARcv, or some otherleading spirit on the Ministerial benches of Con_gress, on the question of Free Trade. The peopleof the States are as little prepared for a socialrevolution as the subjects of Great Britain aredisposed to enter into a war with their kindred onthe other side of the Atlantic. With this assur-ance, both nations may embark in the discussionof mutual grievances and economic principleswith safety and advantage to others as well asthemselves.The new tariff bill, alluded to",accept,accept,"{'date': -3589056000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9841000000000001, 'title': 'The Northern Daily Times.', 'score': 0.9929869771000001}",1641739765,-1194426115,POLITICAL,0.9929869771,0.9929869771,[],classification,1661247037
35,"herfrom all share in the commission for fixing the newBessarabian frontier. Russia also—and in this sheis supported by England—is making great effortsto compel Anstria to withdraw her troopsfrom the Principalities—though Austria urgesall manner of reasons for being allowed toremain—the principal of them being that if shegoes there will be a revolution, which will lead tothe establishment of a Republic—an unholy thing,which, in her eyes, is not to be tolerated for amoment.There has been a very marked advance on rail-way shares on the Bourse to-clay-15 francs on theNorthern, 32f. on the Orleans, 20f. on the Lyons,272 E on the Western, and",accept,accept,"{'date': -3588969600000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9801000000000001, 'title': 'The Northern Daily Times.', 'score': 0.9946441650000001}",-1143892759,-1366888678,POLITICAL,0.994644165,0.994644165,[],classification,1661247048
36,"his rights "" as legitimateking of France, and to say that though""extraordinary events have suspended theexercise of those rights, they continued toexist."" The meaning of this is that the Count deParis—in other terms the family and party ofwhich he is the nominal head—makes an amendehonourable to the Legitimists for the revolutionaryreign of Louis Philippe, and that the two partieswill henceforth be united in their opposition tothe Bonapartean government.At a meeting of the creditors of Mr. W. 0.Young, held to-day, a statement of the probableassets and liabilities was read. This gave liabilitiesto the amount of 65,7501., and assets of 25,2491.A long",accept,accept,"{'date': -3588796800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9643, 'title': 'The Northern Daily Times.', 'score': 0.9869806170000001}",-1795691651,1021563821,POLITICAL,0.986980617,0.986980617,[],classification,1661247808
37,"We are aWare °fd thehideous assassinations which have recently disgrace evilsctoause of liberty in Parma. But is a relief for those,. itbe sought in ti e military of Austria ? justinnot on the contrary, more than robable, that in goproportion as Austrian policy has prevailed at Pithhas the fire of revolution and anarchy burst fert""„r, bYfresh power and intensity ? The policy of cocrel,""..,- theforeign armaments has borne its usual fruits T tileDuchy of Parma. The wonder, however, is, that jr'verypresent conjuncture of European politics—at at thetime that the Italian question has been submitted toolsconsideratiou of a general congress of",accept,accept,"{'date': -3588451200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.7468, 'title': 'The Northern Daily Times.', 'score': 0.9851269126000001}",-547717621,-1414222542,POLITICAL,0.9851269126,0.9851269126,[],classification,1661247819
38,"tolit`aragua, is anticipated. Several reasons for thiseP are mentioned, one of which is that he hasbffa,ept the American government posted on there in that country, having neglected to writeli6,,eyeral mails. The State Department sent outp' despatches to him by Major Reiss.Dates from Vera Cruz to the 26th ult., state thatth- revolutionists at Puebla had surrendered to0 forces under Comonfort.,ql,4civices from Venezuela state that, in censetelnce of a serious destruction of property,°,liging to the Dutch residents at Ville de Cora,/4ue inhabitants of Cora, the Dutch naval Westla fleet are at present at Laguayra to demandrestitution. In the event of Venezuela not",accept,accept,"{'date': -3587932800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.8037000000000001, 'title': 'The Northern Daily Times.', 'score': 0.9936675429}",-2144020837,-727440926,POLITICAL,0.9936675429,0.9936675429,[],classification,1661247828
